iter	RMSE
0	0.9973742696
1	0.9970652883
2	0.9967647736
3	0.9964655175
4	0.9961765581
5	0.9958858712
6	0.9955943362
7	0.9953109382
8	0.9950346856
9	0.9947569459
10	0.9944870639
11	0.9942136985
12	0.9939505501
13	0.9936872732
14	0.9934258094
15	0.9931719284
16	0.9929185712
17	0.9926642661
18	0.9924181421
19	0.9921687167
20	0.9919212322
21	0.991680406
22	0.9914426461
23	0.9912023522
24	0.990967899
25	0.9907390546
26	0.990509213
27	0.9902807348
28	0.9900550971
29	0.9898255691
30	0.9896042874
31	0.9893845809
32	0.9891655939
33	0.9889474155
34	0.988734037
35	0.9885233917
36	0.9883183206
37	0.9881123491
38	0.987910092
39	0.987711019
40	0.9875040329
41	0.9873066542
42	0.9871080814
43	0.9869128743
44	0.9867216868
45	0.9865279736
46	0.9863384302
47	0.9861532665
48	0.9859674751
49	0.985785266
50	0.9856075308
51	0.9854255814
52	0.9852493832
53	0.9850720556
54	0.9848964471
55	0.9847196793
56	0.9845497671
57	0.9843735309
58	0.984202282
59	0.9840331419
60	0.9838700627
61	0.9837054411
62	0.9835413863
63	0.9833769772
64	0.9832074276
65	0.9830449844
66	0.9828901568
67	0.9827295349
68	0.9825705526
69	0.9824175841
70	0.982260902
71	0.9821066948
72	0.9819547553
73	0.981804251
74	0.9816528006
75	0.9815038581
76	0.9813557269
77	0.9812087052
78	0.9810646408
79	0.9809193335
80	0.9807727233
81	0.9806289525
82	0.9804884397
83	0.9803449849
84	0.9802065485
85	0.98007355
86	0.9799390123
87	0.9798000114
88	0.9796674649
89	0.9795302157
90	0.9793927086
91	0.9792590624
92	0.9791263232
93	0.9789900133
94	0.9788588501
95	0.9787294014
96	0.9786033404
97	0.9784813854
98	0.978351588
99	0.978221116
100	0.9780907462
101	0.9779663662
102	0.9778376661
103	0.9777065576
104	0.977582906
105	0.9774612124
106	0.9773420157
107	0.9772188564
108	0.9770961303
109	0.9769778464
110	0.9768649937
111	0.9767484174
112	0.9766250635
113	0.9765052859
114	0.9763920792
115	0.9762796677
116	0.9761623627
117	0.9760538476
118	0.9759396302
119	0.975823123
120	0.9757143905
121	0.9756022304
122	0.9754941923
123	0.9753844642
124	0.9752764019
125	0.9751623332
126	0.9750518183
127	0.9749400617
128	0.9748286821
129	0.9747188791
130	0.9746124224
131	0.9745017252
132	0.9744076032
133	0.9742993126
134	0.9741875897
135	0.974081255
136	0.973972508
137	0.9738655196
138	0.9737679143
139	0.9736667271
140	0.9735653492
141	0.973460658
142	0.9733579374
143	0.973251422
144	0.9731509619
145	0.9730496203
146	0.9729448436
147	0.9728377121
148	0.9727376901
149	0.9726317679
150	0.9725294406
151	0.9724298377
152	0.972330916
153	0.9722341787
154	0.9721392359
155	0.9720433516
156	0.9719432778
157	0.9718462614
158	0.9717451147
159	0.9716466948
160	0.9715552143
161	0.9714537364
162	0.9713536621
163	0.9712530057
164	0.9711539942
165	0.9710593671
166	0.9709673497
167	0.9708732161
168	0.9707880155
169	0.9707011212
170	0.9706190672
171	0.9705224003
172	0.9704327716
173	0.9703488274
174	0.9702542423
175	0.9701545564
176	0.9700593799
177	0.9699704315
178	0.9698809024
179	0.9697938967
180	0.9697031758
181	0.9696112105
182	0.9695277077
183	0.9694383186
184	0.9693484992
185	0.969258219
186	0.9691743541
187	0.9690908439
188	0.9689987601
189	0.968913455
190	0.9688251858
191	0.9687390507
192	0.9686494078
193	0.9685619595
194	0.9684660228
195	0.9683883974
196	0.9683038535
197	0.9682212643
198	0.9681401173
199	0.9680552195
200	0.9679704351
201	0.9678815364
202	0.9677977636
203	0.9677156447
204	0.967630166
205	0.967548637
206	0.967467494
207	0.9673894561
208	0.96730135
209	0.9672262601
210	0.9671416146
211	0.9670563269
212	0.9669647446
213	0.9668834921
214	0.9668031095
215	0.9667246551
216	0.9666469504
217	0.9665644011
218	0.9664758871
219	0.9664018219
220	0.9663203103
221	0.9662319554
222	0.9661479489
223	0.9660644795
224	0.9659838472
225	0.9659002427
226	0.9658195664
227	0.9657424546
228	0.9656674251
229	0.9656013495
230	0.9655263998
231	0.9654410603
232	0.9653640697
233	0.9652898283
234	0.9652145214
235	0.9651385423
236	0.9650620424
237	0.9649805388
238	0.9648952419
239	0.9648135424
240	0.9647402888
241	0.964660788
242	0.9645864016
243	0.9645146761
244	0.9644390359
245	0.9643583283
246	0.9642858584
247	0.9642140197
248	0.9641356578
249	0.9640552886
250	0.9639781266
251	0.9638985327
252	0.9638229957
253	0.9637521536
254	0.9636718738
255	0.9635911019
256	0.9635186956
257	0.963440793
258	0.9633606692
259	0.9632900965
260	0.9632146028
261	0.9631408937
262	0.9630628088
263	0.9629881775
264	0.9629147546
265	0.9628542881
266	0.962784164
267	0.9627081449
268	0.9626349739
269	0.9625637407
270	0.9624934436
271	0.9624281219
272	0.9623570253
273	0.9622885051
274	0.9622156364
275	0.962141547
276	0.9620711279
277	0.9620014632
278	0.9619371716
279	0.9618572568
280	0.9617916488
281	0.9617266441
282	0.9616557996
283	0.9615897523
284	0.9615189888
285	0.9614469737
286	0.9613822802
287	0.9613158188
288	0.9612485928
289	0.9611804193
290	0.9611097169
291	0.9610407733
292	0.9609654071
293	0.960901837
294	0.960826034
295	0.9607566442
296	0.9606849979
297	0.9606182753
298	0.9605479271
299	0.960481408
300	0.9604133932
301	0.9603365473
302	0.9602706223
303	0.9602064279
304	0.960132153
305	0.9600649353
306	0.9599953687
307	0.9599270758
308	0.9598580167
309	0.9597991847
310	0.9597303906
311	0.9596590027
312	0.9595971736
313	0.959525197
314	0.9594520575
315	0.9593847313
316	0.9593129216
317	0.9592531726
318	0.9591943949
319	0.9591245213
320	0.9590603111
321	0.9589929573
322	0.9589234958
323	0.9588522612
324	0.958781692
325	0.9587182819
326	0.9586552031
327	0.9585826679
328	0.9585130242
329	0.9584422775
330	0.958378967
331	0.9583217217
332	0.9582509304
333	0.958181415
334	0.9581261102
335	0.9580703447
336	0.9580116775
337	0.957949498
338	0.9578932644
339	0.9578232654
340	0.9577584186
341	0.9576976875
342	0.9576325271
343	0.9575636994
344	0.9575154407
345	0.9574452919
346	0.9573702533
347	0.9573066887
348	0.9572397001
349	0.957170661
350	0.9571074496
351	0.9570528768
352	0.9569809837
353	0.9569162326
354	0.956855051
355	0.9567891
356	0.9567264133
357	0.9566612478
358	0.956599836
359	0.956535548
360	0.9564655412
361	0.9564032
362	0.9563396323
363	0.956281348
364	0.9562065542
365	0.9561356369
366	0.9560775541
367	0.956009654
368	0.9559396699
369	0.9558779059
370	0.9558051906
371	0.9557416137
372	0.9556680928
373	0.955592517
374	0.9555233894
375	0.9554541956
376	0.9553930427
377	0.9553316106
378	0.955278252
379	0.9552232075
380	0.9551636311
381	0.9550900963
382	0.9550365406
383	0.9549610066
384	0.95489569
385	0.954829971
386	0.9547703088
387	0.9547142553
388	0.9546486769
389	0.9545783787
390	0.954519895
391	0.9544552831
392	0.9543905444
393	0.9543173176
394	0.9542452797
395	0.95418408
396	0.9541321276
397	0.9540707062
398	0.9540060639
399	0.9539350443
